id,name,tamil,category,type,price_rs,mrp_rs,wholesale_rs,unit,pack,in_stock
1373,7UP 50RS CASE[12],7அப் 50₹ பெட்ழ (12),Beverages,soda,550.0,600.0,545.0,Case,12,Yes
1309,AAPA. SODA KG,ஆப்ப சொடா,Beverages,soda,55.0,100.0,50.0,1 unit,,Yes
1406,AJAY BRUSH 11RS SAR,அசூய் பிரஷ் 11₹ சரம்,Beverages,coffee,95.0,132.0,92.0,Strip,,Yes
2132,AJAY BRUSH 20RS,அசூய் பிரஷ் 20₹ சரம்,Beverages,coffee,125.0,,120.0,1 unit,,Yes
2094,AJAY BRUSH 22RS,,Beverages,coffee,17.0,22.0,16.0,1 unit,,Yes
5,APPLE DAILEE,ஆப்பிள் டெய்லி,Beverages,generic,215.0,360.0,215.0,1 unit,,No
333,AVT 1RS KATTU,ஏவிழ 1₹ கட்டு,Beverages,tea,80.0,100.0,75.0,Bundle,,Yes
334,AVT 1RS SARAM,ஏவிழ 1₹ சரம்,Beverages,tea,9.0,10.0,8.0,Strip,,Yes
337,AVT 2RS KATTU,ஏவிழ 2₹ கட்டு,Beverages,tea,85.0,100.0,80.0,Bundle,,Yes
338,AVT 2RS SARAM,ஏவிழ 2₹ சரம்,Beverages,tea,18.0,20.0,16.0,Strip,,Yes
335,AVT 5RS KATTU,ஏவிழ 5₹ கட்டு,Beverages,tea,220.0,250.0,210.0,Bundle,,Yes
336,AVT 5RS SARAM,ஏவிழ 5₹ சரம்,Beverages,tea,45.0,50.0,42.0,Strip,,Yes
2265,AVT PREMIUM 1/2,,Beverages,tea,155.0,300.0,150.0,1 unit,,Yes
2266,AVT PREMIUM 1/2,,Beverages,tea,150.0,300.0,148.0,1 unit,,Yes
1364,BADAM KG,பாதாம் 1கி,Beverages,health,650.0,1000.0,640.0,1 unit,,Yes
2112,BADAM MIX 5RS,,Beverages,health,55.0,65.0,54.0,1 unit,,Yes
1358,BADAM PISUNI KG,பாதாம் பிசின் 1கி,Beverages,health,250.0,500.0,240.0,1 unit,,Yes
8,BEER DAILEE,ழுர் டெய்லி,Beverages,generic,220.0,360.0,220.0,1 unit,,Yes
2032,BOOST 10RS,பூஸ்ட் 10₹ சரம்,Beverages,health,110.0,120.0,109.5,1 unit,,Yes
731,BOOST 200G JAR,,Beverages,health,127.0,135.0,125.0,200 g,,Yes
732,BOOST 200G POUCH,பூஸ்ட் 200கி பவுச்,Beverages,health,0.0,,,200 g,,Yes
729,BOOST 2RS SARAM,பூஸ்ட் 2₹ சரம்,Beverages,health,22.0,24.0,21.5,Strip,,Yes
733,BOOST 500G JAR,,Beverages,health,280.0,295.0,280.0,500 g,,Yes
734,BOOST 500G POUCH,பூஸ்ட் 500கி பவுச்,Beverages,health,212.0,214.0,208.0,500 g,,Yes
725,BOOST 5RS SARAM,பூஸ்ட் 5₹ சரம்,Beverages,health,69.0,75.0,70.0,Strip,,Yes
726,BOOST 5RS [48],பூஸ்ட் 5₹ (48),Beverages,health,3200.0,3600.0,3200.0,1 unit,48,Yes
1155,BOVANTO 1.5L PC,பவண்டொ 1.5லி,Beverages,soda,82.0,90.0,81.0,1.5 L,,Yes
2130,BOVANTO 1.5L [12],பவண்டொ 1.5லி (12),Beverages,soda,855.0,1080.0,850.0,1.5 L,12,Yes
2051,BOVANTO 25RS,பவண்டொ 25₹,Beverages,soda,23.0,25.0,22.5,1 unit,,Yes
1190,BOVANTO 500ML CASE[24],பவண்டொ 500மிலி பெட்ழ(24),Beverages,soda,980.0,,960.0,500 ml,24,Yes
1387,BOVANTO 500ML PC,பவன்டொ 500மிலி,Beverages,soda,42.0,45.0,40.0,500 ml,,Yes
760,BRU 10RS CASE(24),ப்₹ 10₹ பெட்ழ(24),Beverages,coffee,2460.0,2880.0,2460.0,Case,24,Yes
761,BRU 10RS SARAM,ப்₹ 10₹ சரம்,Beverages,coffee,108.0,120.0,108.0,Strip,,No
755,BRU 2RS CASE(24),ப்₹ பெட்ழ(24),Beverages,coffee,5720.0,6912.0,5712.0,Case,24,Yes
756,BRU 2RS KATTU,ப்₹ 2₹ கட்டு,Beverages,coffee,245.0,288.0,255.0,Bundle,,Yes
757,BRU 2RS SARAM,ப்₹ 2₹ சரம்,Beverages,coffee,21.0,24.0,21.0,Strip,,Yes
762,BRU 3RS,ப்₹ 3₹,Beverages,coffee,33.0,36.0,33.0,1 unit,,Yes
758,BRU 5RS CASE(80),ப்₹ 5₹ பெட்ழ(80),Beverages,coffee,4950.0,6000.0,4930.0,Case,80,Yes
759,BRU 5RS SARAM,ப்₹ 5₹ சரம்,Beverages,coffee,66.0,75.0,55.0,Strip,,Yes
764,BRU STRONG 200G,ப்₹ ஸ்ட்ராஹ் 200கி,Beverages,coffee,185.0,190.0,182.0,200 g,,Yes
763,BRU TRIPTI 200G,ப்₹ திருப்தி 200கி,Beverages,coffee,178.0,185.0,175.0,200 g,,Yes
1331,CHAKRA 10RS KATTU[2],சக்ரா கொல்டு 10₹ கட்டு(2),Beverages,tea,175.0,200.0,200.0,Bundle,2,Yes
1332,CHAKRA 10RS SAR,சக்ரா 10₹ சரம்,Beverages,tea,86.0,100.0,100.0,Strip,,Yes
1211,CHAKRA 5RS SAR,சக்ரா 5₹ சரம்,Beverages,tea,44.0,50.0,43.0,Strip,,Yes
1330,CHAKRA GOLD 100G,சக்ரா கொல்டு 100கிராம்,Beverages,tea,85.0,90.0,84.0,100 g,,Yes
1455,CHAKRA GOLD 1RS KATTU[10],சக்ரா கொல்டு 1₹ கட்டு (10),Beverages,tea,85.0,100.0,82.0,Bundle,10,Yes
1326,CHAKRA GOLD 25G KATTU[40],சக்ரா கொல்டு 25கிராம் கட்டு(40),Beverages,tea,910.0,1000.0,900.0,25 g,40,Yes
1327,CHAKRA GOLD 25G PC,சக்ரா கொல்டு 25கிராம்,Beverages,tea,23.5,25.0,23.0,25 g,,Yes
1106,CHAKRA GOLD 2KG KATTU,சக்ரா கொல்டு 2கி கட்டு,Beverages,tea,1160.0,1500.0,1150.0,2 kg,,Yes
1229,CHAKRA GOLD 2RS KATTU[10],சக்ரா கொல்டு 2₹ கட்டு(10),Beverages,tea,175.0,200.0,178.0,Bundle,10,Yes
2064,CHAKRA GOLD 500G,சக்ரா கொல்டு 500கிராம்,Beverages,tea,295.0,300.0,292.0,500 g,,Yes
1328,CHAKRA GOLD 50G KATTU[20],சக்ரா கொல்டு 50கிராம் கட்டு(20),Beverages,tea,780.0,900.0,760.0,50 g,20,Yes
1329,CHAKRA GOLD 50G PC,சக்ரா கொல்டு 50கிராம,Beverages,tea,39.0,45.0,38.0,50 g,,Yes
1161,CHAKRA GOLD 5RS KATTU[6],சக்ரா கொல்டு 5₹ கட்டு(6),Beverages,tea,250.0,300.0,245.0,Bundle,6,Yes
2087,CHOCOS NARASUS 10RS,,Beverages,chocolate,70.0,100.0,70.0,1 unit,,Yes
2088,CLAPS JUICE 5RS,,Beverages,soda,135.0,200.0,132.0,1 unit,,Yes
1103,COFFEE CUP 110ML SAR,காபி கப் 110மிலி சரம்,Beverages,coffee,50.0,80.0,43.0,110 ml,,Yes
2091,COKE 1LTR,கொக் 1லீ,Beverages,soda,47.0,50.0,45.5,1 L,,Yes
1532,COKE 20RS,கொக் 20₹,Beverages,soda,18.5,20.0,18.0,1 unit,,Yes
256,COKE 20RS[24],கொக் 20₹(24),Beverages,soda,440.0,480.0,432.0,1 unit,24,Yes
249,COKE 35RS,கொக் 35₹,Beverages,soda,32.0,35.0,31.0,1 unit,,Yes
250,COKE 35RS[24],கொக் 35₹ (24),Beverages,soda,730.0,960.0,720.0,1 unit,24,Yes
262,COKE 99RS,கொக் 99₹,Beverages,soda,90.0,99.0,89.0,1 unit,,Yes
261,COKE 99RS[9],கொக் 99₹(9),Beverages,soda,816.0,891.0,800.0,1 unit,9,Yes
1160,COL BRUSH 20RS SAR,கொல்கெட் பிரஷ் 20₹ சரம்,Beverages,coffee,135.0,300.0,130.0,Strip,,Yes
9,COLA DAILEE,கொலா டெய்லி,Beverages,soda,220.0,360.0,220.0,1 unit,,Yes
1473,FROOTI 1.8L,ப்ருட்ழ 1.8லி,Beverages,soda,90.0,100.0,85.0,1.8 L,,Yes
1474,FROOTI MANGO 10RS TETRA,ப்₹ட்ழ மெஹ்கொ 10₹,Beverages,soda,370.0,400.0,360.0,1 unit,,Yes
1,GREEN DAILEE,கிரீன் டெய்லி,Beverages,generic,220.0,360.0,220.0,1 unit,,Yes
7,GUAVA DAILEE,கொவா டெய்லி,Beverages,generic,215.0,360.0,215.0,1 unit,,Yes
297,HAPPY DENT WAVE,,Beverages,soda,190.0,205.0,185.0,1 unit,,Yes
298,HAPPY DENT WHITE,,Beverages,soda,190.0,205.0,185.0,1 unit,,Yes
1265,HAPPY HAPPY 10RS KATTU,,Beverages,soda,55.0,60.0,108.0,Bundle,,Yes
1264,HAPPY HAPPY 5RS KATTU,,Beverages,soda,110.0,120.0,106.0,Bundle,,Yes
1235,HAPPYHAPPY 5RS CASE[6],,Beverages,soda,620.0,720.0,610.0,Case,6,Yes
735,HORLICKS 200G JAR,,Beverages,health,123.0,129.0,122.0,200 g,,Yes
736,HORLICKS 200G POUCH,,Beverages,health,104.0,109.0,103.0,200 g,,Yes
730,HORLICKS 2RS SARAM,,Beverages,health,22.0,24.0,21.5,Strip,,Yes
737,HORLICKS 500G JAR,,Beverages,health,274.0,289.0,270.0,500 g,,Yes
738,HORLICKS 500G POUCH,,Beverages,health,210.0,219.0,208.0,500 g,,Yes
727,HORLICKS 5RS SARAM,,Beverages,health,55.0,60.0,55.0,Strip,,Yes
728,HORLICKS 5RS [60],,Beverages,health,3200.0,3600.0,3200.0,1 unit,60,No
2,JINTHA DAILEE,,Beverages,generic,220.0,360.0,220.0,1 unit,,Yes
547,KAARATHOOL 500G NARASUS,காரத்துஸள் 500கிராம் நரசூஸ்,Beverages,spice,140.0,235.0,135.0,500 g,,Yes
258,KINLEY SODA,கின்லெ சொடா,Beverages,soda,19.0,22.0,18.75,1 unit,,Yes
257,KINLEY SODA[24],கின்லெ சொடா(24),Beverages,soda,450.0,600.0,440.0,1 unit,24,Yes
2225,LAZER BRUSH 20RS,,Beverages,coffee,110.0,300.0,102.0,1 unit,,Yes
1193,LEHAR SODA 20RS CASE[24],லெயுர் சொடா 20₹ பெட்ழ(24),Beverages,soda,375.0,480.0,365.0,Case,24,Yes
1542,LEMON SODA 10RS,லெமன் சொடா 10₹,Beverages,soda,225.0,300.0,220.0,1 unit,,Yes
2231,LITCHI JUICE 10RS [6],,Beverages,soda,54.0,60.0,53.0,1 unit,6,Yes
2210,LOTTIE CHOCOLATE 1RS,,Beverages,soda,90.0,100.0,85.0,1 unit,,Yes
267,MAAZA 10RS  TETRA,மாசா 10₹ டெட்ரா,Beverages,soda,340.0,400.0,320.0,1 unit,,Yes
254,MAAZA 42RS,மாசா 42₹,Beverages,soda,38.0,42.0,37.0,1 unit,,No
253,MAAZA 42RS[24],மாசா 42₹(24),Beverages,soda,870.0,1008.0,840.0,1 unit,24,Yes
266,MAAZA 75RS,மாசா 75₹,Beverages,soda,70.0,75.0,66.0,1 unit,,Yes
265,MAAZA 75RS[12],மாசா 75₹(12),Beverages,soda,800.0,900.0,780.0,1 unit,12,Yes
3,MANGO DAILEE,மெஹ்கொ டெய்லி,Beverages,generic,215.0,360.0,215.0,1 unit,,Yes
11,MANGO DAILEE 500ML,மெஹ்கொ டெய்லி 500மிலி,Beverages,generic,600.0,960.0,595.0,500 ml,,Yes
784,MASALA TEA 100G,மசாலா டீ 100கி,Beverages,tea,95.0,100.0,94.0,100 g,,Yes
773,MASALA TEA 10RS KATTU,மசாலா டீ 10₹ கட்டு,Beverages,tea,370.0,420.0,360.0,Bundle,,Yes
774,MASALA TEA 10RS SARAM,மசாலா டீ 10₹ சரம்,Beverages,tea,125.0,140.0,122.0,Strip,,Yes
785,MASALA TEA 250G,மசாலா டீ 250கி,Beverages,tea,225.0,240.0,225.0,250 g,,Yes
1471,MASS BADAM DRINK 200G,மாஸ் பாதாம் ழரிஹ்க் 200கிராம்,Beverages,health,95.0,99.0,92.0,200 g,,Yes
1316,MEERA BADAM 2RS SAR,மீரா பாதாம் 2₹ சரம்,Beverages,health,35.0,40.0,34.0,Strip,,Yes
1174,MILKSHAKE CHOCO 10RS CASE[100],மில்க்ஷெக் சாக்கொ 10₹ பெட்ழ(100),Beverages,milk,860.0,1000.0,850.0,Case,100,Yes
1175,MILKSHAKE CHOCO 10RS PC,மில்க்ஷெக் சாக்கொ 10₹,Beverages,milk,9.0,10.0,8.75,Piece,,Yes
2264,MOLDING BRUSH [6],,Beverages,coffee,70.0,1200.0,65.0,1 unit,6,Yes
740,MOTHER HORLICKS  500G,,Beverages,health,590.0,620.0,580.0,500 g,,Yes
739,MOTHER HORLICKS 200G,,Beverages,health,232.0,245.0,230.0,200 g,,Yes
541,NARASUS 2RS KATTU,நரசூஸ் 2₹ கட்டு,Beverages,generic,265.0,288.0,260.0,Bundle,,Yes
542,NARASUS 2RS SARAM,நரசூஸ் 2₹ சரம்,Beverages,generic,22.0,24.0,22.0,Strip,,Yes
543,NARASUS 5RS KATTU,நரசூஸ் 5₹ கட்டு,Beverages,generic,135.0,150.0,140.0,Bundle,,Yes
544,NARASUS 5RS SARAM,நரசூஸ் 5₹ சரம்,Beverages,generic,46.0,50.0,45.0,Strip,,Yes
2127,NARASUS COFFEE 200G,,Beverages,coffee,180.0,200.0,175.0,200 g,,Yes
549,NARASUS COFFEE 65RS,நரசூஸ் காபி 65₹,Beverages,coffee,50.0,65.0,45.0,1 unit,,Yes
2125,NARASUS IDLY 5RS,,Beverages,generic,45.0,,43.0,1 unit,,Yes
2252,NARASUS SUKKU MALLI 5RS,,Beverages,spice,39.0,50.0,38.0,1 unit,,Yes
1448,NARASUS TEA 500G,நரசுூஸ் டீ 500கிராம்,Beverages,tea,145.0,177.0,140.0,500 g,,No
550,NARASUS UDHAYAM 47RS,நரசூஸ் உதயம் 47₹,Beverages,generic,40.0,47.0,35.0,1 unit,,Yes
146,NARTAJ SHARPENER,நட்ராசூ; ஷார்ப்னர்,Beverages,tea,48.0,60.0,47.0,1 unit,,Yes
1399,OMAM WATER KATTU [10],ஓமம் வாட்டர் கட்டு(10),Beverages,water,65.0,120.0,60.0,Bundle,10,Yes
1426,ORAL B BRUSH 20RS SAR,ஓரல் பி பிரஷ் 20₹ சரம்,Beverages,coffee,125.0,300.0,120.0,Strip,,Yes
6,ORANGE DAILEE,ஆரஞ்சு டெ;யலி,Beverages,generic,220.0,360.0,220.0,1 unit,,Yes
4,PANEER DAILEE,பன்னீர் டெய்லி,Beverages,milk,220.0,360.0,220.0,1 unit,,No
1509,PANNER ROSE WATER 10RS,,Beverages,water,70.0,100.0,63.0,1 unit,,Yes
2251,PEPSI 20RS,,Beverages,soda,18.0,20.0,18.0,1 unit,,Yes
271,PEPSI 40RS,பெப்சி 40₹,Beverages,soda,780.0,840.0,35.0,1 unit,,Yes
270,PEPSI 40RS[24],பெப்சி 40₹(24),Beverages,soda,780.0,840.0,770.0,1 unit,24,Yes
2216,PINAPPLE DAILEE 10RS,,Beverages,generic,215.0,300.0,210.0,1 unit,,Yes
1040,RIPPLE TEA 1/2KG,ரிப்பல் டீ 1ஃ2கி,Beverages,tea,140.0,155.0,136.0,2 kg,,Yes
1042,RIPPLE TEA 10RS SAR,ரிப்பல் டீ 10₹ சரம்,Beverages,tea,78.0,100.0,76.0,Strip,,Yes
1039,RIPPLE TEA 1KG,ரிப்பல் டீ 1கி,Beverages,tea,275.0,310.0,270.0,1 kg,,Yes
1041,RIPPLE TEA 250G,ரிப்பல் டீ 250கிராம்,Beverages,tea,76.0,80.0,74.0,250 g,,Yes
546,SAMEYA NARASUS,செமியா நரசூஸ்,Beverages,generic,15.0,20.0,12.0,1 unit,,Yes
1568,SENSODYNE BRUSH 35RS,,Beverages,coffee,300.0,420.0,290.0,1 unit,,Yes
10,SODA DAILEE,சொடா டெய்லி,Beverages,soda,180.0,240.0,175.0,1 unit,,Yes
2090,SPRITE 1LTR,ஸ்ப்ரைட் 1லீ,Beverages,soda,48.0,50.0,45.5,1 L,,Yes
1533,SPRITE 20RS,ஸ்ப்ரைட் 20₹,Beverages,soda,18.5,20.0,18.0,1 unit,,Yes
255,SPRITE 20RS[28],ஸ்ப்ரைட் 20₹(28),Beverages,soda,490.0,560.0,490.0,1 unit,28,Yes
252,SPRITE 35RS,ஸ்ப்ரைட் 35₹,Beverages,soda,31.0,35.0,30.0,1 unit,,Yes
251,SPRITE 35RS[24],ஸ்ப்ரைட் 35₹(24),Beverages,soda,730.0,960.0,720.0,1 unit,24,Yes
260,SPRITE 99RS,ஸ்ப்ரைட் 99₹,Beverages,soda,90.0,99.0,89.0,1 unit,,Yes
259,SPRITE 99RS[9],ஸ்ப்ரைட் 99₹(9),Beverages,soda,810.0,891.0,800.0,1 unit,9,Yes
786,TAJ MAHAL 100G,,Beverages,tea,92.0,95.0,91.0,100 g,,Yes
1154,TANG 5RS SAR[12],டெஹ்க் 5₹ சரம்(12),Beverages,soda,55.0,60.0,54.0,Strip,12,Yes
1481,TANG ORANGE 30RS,டெஹ் ஆரஞ்சு 30₹,Beverages,soda,27.0,30.0,26.0,1 unit,,Yes
1480,TANG ORANGE 5RS SAR,டெஹ் ஆரஞ்சு 5₹ சரம்,Beverages,soda,56.0,60.0,55.0,Strip,,Yes
548,TEA 500G NARASUS,டீ 500கிராம் நரசூஸ்,Beverages,tea,130.0,168.0,125.0,500 g,,Yes
2260,TEA CAKE 2RS,,Beverages,tea,85.0,100.0,80.0,1 unit,,Yes
1102,TEA CUP ROLL SAR,டீ கப் ரொல் சரம்,Beverages,tea,35.0,50.0,30.0,Strip,,Yes
34,TEA FILTER A29,டீ பில்டர் ஏ29,Beverages,tea,100.0,120.0,80.0,1 unit,,Yes
35,TEA FILTER WHITE 4C,டீ பில்டர் வெள்ளை 4சி,Beverages,tea,90.0,120.0,80.0,1 unit,,Yes
2059,TUTTI FRUITI,,Beverages,soda,150.0,300.0,150.0,1 unit,,Yes
51,WASHING BRUSH BIG,வாஷிஹ் பிரஷ் பெரியது,Beverages,coffee,75.0,90.0,60.0,1 unit,,Yes
50,WASHING BRUSH SMALL,வாஷிஹ் பிரஷ் சிறியது,Beverages,coffee,50.0,60.0,50.0,1 unit,,Yes
280,WATER 1 LITRE,தண்ணீர் 1லி,Beverages,water,110.0,240.0,100.0,1 unit,,Yes
2274,WATER 1 LTR SURE,,Beverages,water,100.0,200.0,95.0,1 L,,Yes
281,WATER 2 LITRE,தண்ணீர் 2லி,Beverages,water,120.0,270.0,125.0,1 unit,,Yes
283,WATER 300 ML,தண்ணீர் 300மிலி,Beverages,water,120.0,180.0,120.0,300 ml,,Yes
282,WATER 500ML,தண்ணீர் 500மிலி,Beverages,water,120.0,240.0,120.0,500 ml,,Yes
1560,WATER CAN 25L,,Beverages,water,40.0,100.0,40.0,25 L,,Yes
1104,WATER CUP LITE SAR,வாட்டர் கப் லைட் சரம்,Beverages,water,65.0,100.0,50.0,Strip,,Yes
1105,WATER CUP STRNG,வாட்டா கப் ஸ்ட்ராஹ்,Beverages,water,80.0,200.0,78.0,Cup,,Yes
1167,CADBURY CHOCOBAKES RS 35,காட்பரி சாக்கொ பெக்ஸ் ₹35,Chocolates & Candy,chocolate,31.0,35.0,30.5,1 unit,,Yes
1089,CANDYMAN FANT JAR 5RS,,Chocolates & Candy,candy,175.0,200.0,173.0,Jar,,Yes
580,CHOCOLUSH 35RS,சர்க்கொலஷ் 35₹,Chocolates & Candy,chocolate,33.0,35.0,32.0,1 unit,,Yes
2222,CHOCOS 5RS,,Chocolates & Candy,chocolate,52.0,60.0,50.0,1 unit,,Yes
2223,CHOCOS KWALITY 10RS,,Chocolates & Candy,chocolate,110.0,120.0,105.0,1 unit,,Yes
295,ECLAIRS JAR,,Chocolates & Candy,candy,185.0,202.0,180.0,Jar,,Yes
656,FIVESTAR 10RS,5ஸ்டார் 10₹,Chocolates & Candy,chocolate,10.0,,9.0,1 unit,,Yes
657,FIVESTAR 10RS BOX,5ஸ்டார் 10₹ பெட்ழ,Chocolates & Candy,chocolate,360.0,400.0,350.0,Box,,Yes
654,FIVESTAR 5RS,5ஸ்டார் 5₹,Chocolates & Candy,chocolate,5.0,,4.6,1 unit,,Yes
655,FIVESTAR 5RS BOX,5ஸ்டார் 5₹ பெட்ழ,Chocolates & Candy,chocolate,250.0,270.0,240.0,Box,,Yes
671,GEMS 5RS BOX,டிசூம்ஸ் 5₹ பெட்ழ,Chocolates & Candy,chocolate,425.0,480.0,430.0,Box,,Yes
670,GEMS 5RS KATTU,டிசூம்ஸ் 5₹ கட்டு,Chocolates & Candy,chocolate,220.0,240.0,215.0,Bundle,,Yes
669,GEMS 5RS SARAM,டிசூம்ஸ் 5₹ சரம்,Chocolates & Candy,chocolate,72.0,80.0,80.0,Strip,,Yes
1003,GEMS LUVIT 5RS[45],டிசூம்ஸ் லுவிட் 5₹(45),Chocolates & Candy,chocolate,205.0,225.0,202.0,1 unit,45,Yes
1194,GINGER CANDY 10RS [20],,Chocolates & Candy,candy,160.0,200.0,150.0,1 unit,20,Yes
1404,GINGER CANDY 5RS ATA[20],ஈஞ்சி கென்ழ 5₹ ஏழஏ(20),Chocolates & Candy,candy,75.0,100.0,70.0,1 unit,20,Yes
538,GO CHOCO ROLL,கொ சாக்கொ ரொல்,Chocolates & Candy,chocolate,160.0,175.0,175.0,1 unit,,Yes
2215,GOOD DAY CHOCO 10RS,,Chocolates & Candy,biscuit,110.0,120.0,108.0,1 unit,,Yes
1462,GUAVA CANDY 50P,கொவா கென்ழ 50ழப,Chocolates & Candy,candy,45.0,80.0,45.0,1 unit,,Yes
1482,GUM 5RS SAR,கம் 5₹ சரம்,Chocolates & Candy,candy,41.0,50.0,42.0,Strip,,Yes
1169,JELLY TEDDY 5RS JAR,,Chocolates & Candy,candy,150.0,200.0,140.0,Jar,,Yes
294,JUST JELLY,சூஸ்ட் டிசூல்லி,Chocolates & Candy,candy,220.0,225.0,200.0,1 unit,,Yes
1581,JUST JELLY LOTTE 1RS,,Chocolates & Candy,candy,180.0,200.0,175.0,1 unit,,Yes
690,KITKAT 10RS,கிட்காட் 10₹,Chocolates & Candy,chocolate,9.5,10.0,9.2,1 unit,,Yes
691,KITKAT 10RS BOX,கிட்காட் 10₹ பெட்ழ,Chocolates & Candy,chocolate,380.0,,375.0,Box,,Yes
688,KITKAT 5RS,கிட்காட் 5₹,Chocolates & Candy,chocolate,5.0,,4.6,1 unit,,Yes
689,KITKAT 5RS BOX,கிட்காட் 5₹ பெட்ழ,Chocolates & Candy,chocolate,280.0,300.0,275.0,Box,,Yes
2017,LACTO KING 1RS,,Chocolates & Candy,candy,100.0,120.0,95.0,1 unit,,Yes
